SampleID	Count	Donor	CellType	Condition
D4_Monos_delta5_sample_0032	humanMyeloid_D4_Monos_delta5_sample_0032.count	D4	Monos	delta5
D4_Monos_Hla_sample_0024	humanMyeloid_D4_Monos_Hla_sample_0024.count	D4	Monos	Hla
D4_Monos_HlgAB_sample_0022	humanMyeloid_D4_Monos_HlgAB_sample_0022.count	D4	Monos	HlgAB
D4_Monos_HlgCB_sample_0023	humanMyeloid_D4_Monos_HlgCB_sample_0023.count	D4	Monos	HlgCB
D4_Monos_IFN-B1a_sample_0025	humanMyeloid_D4_Monos_IFN-B1a_sample_0025.count	D4	Monos	IFN-B1a
D4_Monos_IFN-lambda2_sample_0027	humanMyeloid_D4_Monos_IFN-lambda2_sample_0027.count	D4	Monos	IFN-lambda2
D4_Monos_IFN-y_sample_0026	humanMyeloid_D4_Monos_IFN-y_sample_0026.count	D4	Monos	IFN-y
D4_Monos_IL-10_sample_0029	humanMyeloid_D4_Monos_IL-10_sample_0029.count	D4	Monos	IL-10
D4_Monos_IL-13_sample_0030	humanMyeloid_D4_Monos_IL-13_sample_0030.count	D4	Monos	IL-13
D4_Monos_IL-4_sample_0028	humanMyeloid_D4_Monos_IL-4_sample_0028.count	D4	Monos	IL-4
D4_Monos_LukAB-CC30_sample_0019	humanMyeloid_D4_Monos_LukAB_CC30_sample_0019.count	D4	Monos	LukAB-CC30
D4_Monos_LukAB-CC8_sample_0018	humanMyeloid_D4_Monos_LukAB_CC8_sample_0018.count	D4	Monos	LukAB-CC8
D4_Monos_LukED_sample_0020	humanMyeloid_D4_Monos_LukED_sample_0020.count	D4	Monos	LukED
D4_Monos_LukSF_sample_0021	humanMyeloid_D4_Monos_LukSF_sample_0021.count	D4	Monos	LukSF
D4_Monos_WT_sample_0031	humanMyeloid_D4_Monos_WT_sample_0031.count	D4	Monos	WT
D4_PMNs_Buffer_sample_0001	humanMyeloid_D4_PMNs_Buffer_sample_0001.count	D4	PMNs	Buffer
D4_PMNs_delta5_sample_0016	humanMyeloid_D4_PMNs_delta5_sample_0016.count	D4	PMNs	delta5
D4_PMNs_Hla_sample_0008	humanMyeloid_D4_PMNs_Hla_sample_0008.count	D4	PMNs	Hla
D4_PMNs_HlgAB_sample_0006	humanMyeloid_D4_PMNs_HlgAB_sample_0006.count	D4	PMNs	HlgAB
D4_PMNs_HlgCB_sample_0007	humanMyeloid_D4_PMNs_HlgCB_sample_0007.count	D4	PMNs	HlgCB
D4_PMNs_IFN-B1a_sample_0009	humanMyeloid_D4_PMNs_IFN-B1a_sample_0009.count	D4	PMNs	IFN-B1a
D4_PMNs_IFN-lambda2_sample_0011	humanMyeloid_D4_PMNs_IFN-lambda2_sample_0011.count	D4	PMNs	IFN-lambda2
D4_PMNs_IFN-y_sample_0010	humanMyeloid_D4_PMNs_IFN-y_sample_0010.count	D4	PMNs	IFN-y
D4_PMNs_IL-10_sample_0013	humanMyeloid_D4_PMNs_IL-10_sample_0013.count	D4	PMNs	IL-10
D4_PMNs_IL-13_sample_0014	humanMyeloid_D4_PMNs_IL-13_sample_0014.count	D4	PMNs	IL-13
D4_PMNs_IL-4_sample_0012	humanMyeloid_D4_PMNs_IL-4_sample_0012.count	D4	PMNs	IL-4
D4_PMNs_LukAB-CC30_sample_0003	humanMyeloid_D4_PMNs_LukAB_CC30_sample_0003.count	D4	PMNs	LukAB-CC30
D4_PMNs_LukAB-CC8_sample_0002	humanMyeloid_D4_PMNs_LukAB_CC8_sample_0002.count	D4	PMNs	LukAB-CC8
D4_PMNs_LukED_sample_0004	humanMyeloid_D4_PMNs_LukED_sample_0004.count	D4	PMNs	LukED
D4_PMNs_LukSF_sample_0005	humanMyeloid_D4_PMNs_LukSF_sample_0005.count	D4	PMNs	LukSF
D4_PMNs_WT_sample_0015	humanMyeloid_D4_PMNs_WT_sample_0015.count	D4	PMNs	WT
D5_DCs_Buffer_sample_0097	humanMyeloid_D5_DCs_Buffer_sample_0097.count	D5	DCs	Buffer
D5_DCs_delta5_sample_0112	humanMyeloid_D5_DCs_delta5_sample_0112.count	D5	DCs	delta5
D5_DCs_Hla_sample_0104	humanMyeloid_D5_DCs_Hla_sample_0104.count	D5	DCs	Hla
D5_DCs_HlgAB_sample_0102	humanMyeloid_D5_DCs_HlgAB_sample_0102.count	D5	DCs	HlgAB
D5_DCs_HlgCB_sample_0103	humanMyeloid_D5_DCs_HlgCB_sample_0103.count	D5	DCs	HlgCB
D5_DCs_IFN-B1a_sample_0105	humanMyeloid_D5_DCs_IFN-B1a_sample_0105.count	D5	DCs	IFN-B1a
D5_DCs_IFN-lambda2_sample_0107	humanMyeloid_D5_DCs_IFN-lambda2_sample_0107.count	D5	DCs	IFN-lambda2
D5_DCs_IFN-y_sample_0106	humanMyeloid_D5_DCs_IFN-y_sample_0106.count	D5	DCs	IFN-y
D5_DCs_IL-10_sample_0109	humanMyeloid_D5_DCs_IL-10_sample_0109.count	D5	DCs	IL-10
D5_DCs_IL-13_sample_0110	humanMyeloid_D5_DCs_IL-13_sample_0110.count	D5	DCs	IL-13
D5_DCs_IL-4_sample_0108	humanMyeloid_D5_DCs_IL-4_sample_0108.count	D5	DCs	IL-4
D5_DCs_LukAB-CC30_sample_0099	humanMyeloid_D5_DCs_LukAB_CC30_sample_0099.count	D5	DCs	LukAB-CC30
D5_DCs_LukAB-CC8_sample_0098	humanMyeloid_D5_DCs_LukAB_CC8_sample_0098.count	D5	DCs	LukAB-CC8
D5_DCs_LukED_sample_0100	humanMyeloid_D5_DCs_LukED_sample_0100.count	D5	DCs	LukED
D5_DCs_LukSF_sample_0101	humanMyeloid_D5_DCs_LukSF_sample_0101.count	D5	DCs	LukSF
D5_DCs_WT_sample_0111	humanMyeloid_D5_DCs_WT_sample_0111.count	D5	DCs	WT
D5_Macs_Buffer_sample_0113	humanMyeloid_D5_Macs_Buffer_sample_0113.count	D5	Macs	Buffer
D5_Macs_delta5_sample_0128	humanMyeloid_D5_Macs_delta5_sample_0128.count	D5	Macs	delta5
D5_Macs_Hla_sample_0120	humanMyeloid_D5_Macs_Hla_sample_0120.count	D5	Macs	Hla
D5_Macs_HlgAB_sample_0118	humanMyeloid_D5_Macs_HlgAB_sample_0118.count	D5	Macs	HlgAB
D5_Macs_HlgCB_sample_0119	humanMyeloid_D5_Macs_HlgCB_sample_0119.count	D5	Macs	HlgCB
D5_Macs_IFN-B1a_sample_0121	humanMyeloid_D5_Macs_IFN-B1a_sample_0121.count	D5	Macs	IFN-B1a
D5_Macs_IFN-lambda2_sample_0123	humanMyeloid_D5_Macs_IFN-lambda2_sample_0123.count	D5	Macs	IFN-lambda2
D5_Macs_IFN-y_sample_0122	humanMyeloid_D5_Macs_IFN-y_sample_0122.count	D5	Macs	IFN-y
D5_Macs_IL-10_sample_0125	humanMyeloid_D5_Macs_IL-10_sample_0125.count	D5	Macs	IL-10
D5_Macs_IL-13_sample_0126	humanMyeloid_D5_Macs_IL-13_sample_0126.count	D5	Macs	IL-13
D5_Macs_IL-4_sample_0124	humanMyeloid_D5_Macs_IL-4_sample_0124.count	D5	Macs	IL-4
D5_Macs_LukAB-CC30_sample_0115	humanMyeloid_D5_Macs_LukAB_CC30_sample_0115.count	D5	Macs	LukAB-CC30
D5_Macs_LukAB-CC8_sample_0114	humanMyeloid_D5_Macs_LukAB_CC8_sample_0114.count	D5	Macs	LukAB-CC8
D5_Macs_LukED_sample_0116	humanMyeloid_D5_Macs_LukED_sample_0116.count	D5	Macs	LukED
D5_Macs_LukSF_sample_0117	humanMyeloid_D5_Macs_LukSF_sample_0117.count	D5	Macs	LukSF
D5_Macs_WT_sample_0127	humanMyeloid_D5_Macs_WT_sample_0127.count	D5	Macs	WT
D5_Monos_Buffer_sample_0081	humanMyeloid_D5_Monos_Buffer_sample_0081.count	D5	Monos	Buffer
D5_Monos_delta5_sample_0096	humanMyeloid_D5_Monos_delta5_sample_0096.count	D5	Monos	delta5
D5_Monos_Hla_sample_0088	humanMyeloid_D5_Monos_Hla_sample_0088.count	D5	Monos	Hla
D5_Monos_HlgAB_sample_0086	humanMyeloid_D5_Monos_HlgAB_sample_0086.count	D5	Monos	HlgAB
D5_Monos_HlgCB_sample_0087	humanMyeloid_D5_Monos_HlgCB_sample_0087.count	D5	Monos	HlgCB
D5_Monos_IFN-B1a_sample_0089	humanMyeloid_D5_Monos_IFN-B1a_sample_0089.count	D5	Monos	IFN-B1a
D5_Monos_IFN-lambda2_sample_0091	humanMyeloid_D5_Monos_IFN-lambda2_sample_0091.count	D5	Monos	IFN-lambda2
D5_Monos_IFN-y_sample_0090	humanMyeloid_D5_Monos_IFN-y_sample_0090.count	D5	Monos	IFN-y
D5_Monos_IL-10_sample_0093	humanMyeloid_D5_Monos_IL-10_sample_0093.count	D5	Monos	IL-10
D5_Monos_IL-13_sample_0094	humanMyeloid_D5_Monos_IL-13_sample_0094.count	D5	Monos	IL-13
D5_Monos_IL-4_sample_0092	humanMyeloid_D5_Monos_IL-4_sample_0092.count	D5	Monos	IL-4
D5_Monos_LukAB-CC30_sample_0083	humanMyeloid_D5_Monos_LukAB_CC30_sample_0083.count	D5	Monos	LukAB-CC30
D5_Monos_LukAB-CC8_sample_0082	humanMyeloid_D5_Monos_LukAB_CC8_sample_0082.count	D5	Monos	LukAB-CC8
D5_Monos_LukED_sample_0084	humanMyeloid_D5_Monos_LukED_sample_0084.count	D5	Monos	LukED
D5_Monos_LukSF_sample_0085	humanMyeloid_D5_Monos_LukSF_sample_0085.count	D5	Monos	LukSF
D5_Monos_WT_sample_0095	humanMyeloid_D5_Monos_WT_sample_0095.count	D5	Monos	WT
D5_PMNs_Buffer_sample_0065	humanMyeloid_D5_PMNs_Buffer_sample_0065.count	D5	PMNs	Buffer
D5_PMNs_delta5_sample_0080	humanMyeloid_D5_PMNs_delta5_sample_0080.count	D5	PMNs	delta5
D5_PMNs_Hla_sample_0072	humanMyeloid_D5_PMNs_Hla_sample_0072.count	D5	PMNs	Hla
D5_PMNs_HlgAB_sample_0070	humanMyeloid_D5_PMNs_HlgAB_sample_0070.count	D5	PMNs	HlgAB
D5_PMNs_HlgCB_sample_0071	humanMyeloid_D5_PMNs_HlgCB_sample_0071.count	D5	PMNs	HlgCB
D5_PMNs_IFN-B1a_sample_0073	humanMyeloid_D5_PMNs_IFN-B1a_sample_0073.count	D5	PMNs	IFN-B1a
D5_PMNs_IFN-lambda2_sample_0075	humanMyeloid_D5_PMNs_IFN-lambda2_sample_0075.count	D5	PMNs	IFN-lambda2
D5_PMNs_IFN-y_sample_0074	humanMyeloid_D5_PMNs_IFN-y_sample_0074.count	D5	PMNs	IFN-y
D5_PMNs_IL-10_sample_0077	humanMyeloid_D5_PMNs_IL-10_sample_0077.count	D5	PMNs	IL-10
D5_PMNs_IL-13_sample_0078	humanMyeloid_D5_PMNs_IL-13_sample_0078.count	D5	PMNs	IL-13
D5_PMNs_IL-4_sample_0076	humanMyeloid_D5_PMNs_IL-4_sample_0076.count	D5	PMNs	IL-4
D5_PMNs_LukAB-CC30_sample_0067	humanMyeloid_D5_PMNs_LukAB_CC30_sample_0067.count	D5	PMNs	LukAB-CC30
D5_PMNs_LukAB-CC8_sample_0066	humanMyeloid_D5_PMNs_LukAB_CC8_sample_0066.count	D5	PMNs	LukAB-CC8
D5_PMNs_LukED_sample_0068	humanMyeloid_D5_PMNs_LukED_sample_0068.count	D5	PMNs	LukED
D5_PMNs_LukSF_sample_0069	humanMyeloid_D5_PMNs_LukSF_sample_0069.count	D5	PMNs	LukSF
D5_PMNs_WT_sample_0079	humanMyeloid_D5_PMNs_WT_sample_0079.count	D5	PMNs	WT
D6_DCs_Buffer_sample_0161	humanMyeloid_D6_DCs_Buffer_sample_0161.count	D6	DCs	Buffer
D6_DCs_delta5_sample_0176	humanMyeloid_D6_DCs_delta5_sample_0176.count	D6	DCs	delta5
D6_DCs_Hla_sample_0168	humanMyeloid_D6_DCs_Hla_sample_0168.count	D6	DCs	Hla
D6_DCs_HlgAB_sample_0166	humanMyeloid_D6_DCs_HlgAB_sample_0166.count	D6	DCs	HlgAB
D6_DCs_HlgCB_sample_0167	humanMyeloid_D6_DCs_HlgCB_sample_0167.count	D6	DCs	HlgCB
D6_DCs_IFN-B1a_sample_0169	humanMyeloid_D6_DCs_IFN-B1a_sample_0169.count	D6	DCs	IFN-B1a
D6_DCs_IFN-lambda2_sample_0171	humanMyeloid_D6_DCs_IFN-lambda2_sample_0171.count	D6	DCs	IFN-lambda2
D6_DCs_IFN-y_sample_0170	humanMyeloid_D6_DCs_IFN-y_sample_0170.count	D6	DCs	IFN-y
D6_DCs_IL-10_sample_0173	humanMyeloid_D6_DCs_IL-10_sample_0173.count	D6	DCs	IL-10
D6_DCs_IL-13_sample_0174	humanMyeloid_D6_DCs_IL-13_sample_0174.count	D6	DCs	IL-13
D6_DCs_IL-4_sample_0172	humanMyeloid_D6_DCs_IL-4_sample_0172.count	D6	DCs	IL-4
D6_DCs_LukAB-CC30_sample_0163	humanMyeloid_D6_DCs_LukAB_CC30_sample_0163.count	D6	DCs	LukAB-CC30
D6_DCs_LukAB-CC8_sample_0162	humanMyeloid_D6_DCs_LukAB_CC8_sample_0162.count	D6	DCs	LukAB-CC8
D6_DCs_LukED_sample_0164	humanMyeloid_D6_DCs_LukED_sample_0164.count	D6	DCs	LukED
D6_DCs_LukSF_sample_0165	humanMyeloid_D6_DCs_LukSF_sample_0165.count	D6	DCs	LukSF
D6_DCs_WT_sample_0175	humanMyeloid_D6_DCs_WT_sample_0175.count	D6	DCs	WT
D6_Macs_Buffer_sample_0177	humanMyeloid_D6_Macs_Buffer_sample_0177.count	D6	Macs	Buffer
D6_Macs_delta5_sample_0192	humanMyeloid_D6_Macs_delta5_sample_0192.count	D6	Macs	delta5
D6_Macs_Hla_sample_0184	humanMyeloid_D6_Macs_Hla_sample_0184.count	D6	Macs	Hla
D6_Macs_HlgAB_sample_0182	humanMyeloid_D6_Macs_HlgAB_sample_0182.count	D6	Macs	HlgAB
D6_Macs_HlgCB_sample_0183	humanMyeloid_D6_Macs_HlgCB_sample_0183.count	D6	Macs	HlgCB
D6_Macs_IFN-B1a_sample_0185	humanMyeloid_D6_Macs_IFN-B1a_sample_0185.count	D6	Macs	IFN-B1a
D6_Macs_IFN-lambda2_sample_0187	humanMyeloid_D6_Macs_IFN-lambda2_sample_0187.count	D6	Macs	IFN-lambda2
D6_Macs_IFN-y_sample_0186	humanMyeloid_D6_Macs_IFN-y_sample_0186.count	D6	Macs	IFN-y
D6_Macs_IL-10_sample_0189	humanMyeloid_D6_Macs_IL-10_sample_0189.count	D6	Macs	IL-10
D6_Macs_IL-13_sample_0190	humanMyeloid_D6_Macs_IL-13_sample_0190.count	D6	Macs	IL-13
D6_Macs_IL-4_sample_0188	humanMyeloid_D6_Macs_IL-4_sample_0188.count	D6	Macs	IL-4
D6_Macs_LukAB-CC30_sample_0179	humanMyeloid_D6_Macs_LukAB_CC30_sample_0179.count	D6	Macs	LukAB-CC30
D6_Macs_LukAB-CC8_sample_0178	humanMyeloid_D6_Macs_LukAB_CC8_sample_0178.count	D6	Macs	LukAB-CC8
D6_Macs_LukED_sample_0180	humanMyeloid_D6_Macs_LukED_sample_0180.count	D6	Macs	LukED
D6_Macs_LukSF_sample_0181	humanMyeloid_D6_Macs_LukSF_sample_0181.count	D6	Macs	LukSF
D6_Macs_WT_sample_0191	humanMyeloid_D6_Macs_WT_sample_0191.count	D6	Macs	WT
D6_Monos_Buffer_sample_0145	humanMyeloid_D6_Monos_Buffer_sample_0145.count	D6	Monos	Buffer
D6_Monos_delta5_sample_0160	humanMyeloid_D6_Monos_delta5_sample_0160.count	D6	Monos	delta5
D6_Monos_Hla_sample_0152	humanMyeloid_D6_Monos_Hla_sample_0152.count	D6	Monos	Hla
D6_Monos_HlgAB_sample_0150	humanMyeloid_D6_Monos_HlgAB_sample_0150.count	D6	Monos	HlgAB
D6_Monos_HlgCB_sample_0151	humanMyeloid_D6_Monos_HlgCB_sample_0151.count	D6	Monos	HlgCB
D6_Monos_IFN-B1a_sample_0153	humanMyeloid_D6_Monos_IFN-B1a_sample_0153.count	D6	Monos	IFN-B1a
D6_Monos_IFN-lambda2_sample_0155	humanMyeloid_D6_Monos_IFN-lambda2_sample_0155.count	D6	Monos	IFN-lambda2
D6_Monos_IFN-y_sample_0154	humanMyeloid_D6_Monos_IFN-y_sample_0154.count	D6	Monos	IFN-y
D6_Monos_IL-10_sample_0157	humanMyeloid_D6_Monos_IL-10_sample_0157.count	D6	Monos	IL-10
D6_Monos_IL-13_sample_0158	humanMyeloid_D6_Monos_IL-13_sample_0158.count	D6	Monos	IL-13
D6_Monos_IL-4_sample_0156	humanMyeloid_D6_Monos_IL-4_sample_0156.count	D6	Monos	IL-4
D6_Monos_LukAB-CC30_sample_0147	humanMyeloid_D6_Monos_LukAB_CC30_sample_0147.count	D6	Monos	LukAB-CC30
D6_Monos_LukAB-CC8_sample_0146	humanMyeloid_D6_Monos_LukAB_CC8_sample_0146.count	D6	Monos	LukAB-CC8
D6_Monos_LukED_sample_0148	humanMyeloid_D6_Monos_LukED_sample_0148.count	D6	Monos	LukED
D6_Monos_LukSF_sample_0149	humanMyeloid_D6_Monos_LukSF_sample_0149.count	D6	Monos	LukSF
D6_Monos_WT_sample_0159	humanMyeloid_D6_Monos_WT_sample_0159.count	D6	Monos	WT
D6_PMNs_Buffer_sample_0129	humanMyeloid_D6_PMNs_Buffer_sample_0129.count	D6	PMNs	Buffer
D6_PMNs_delta5_sample_0144	humanMyeloid_D6_PMNs_delta5_sample_0144.count	D6	PMNs	delta5
D6_PMNs_Hla_sample_0136	humanMyeloid_D6_PMNs_Hla_sample_0136.count	D6	PMNs	Hla
D6_PMNs_HlgAB_sample_0134	humanMyeloid_D6_PMNs_HlgAB_sample_0134.count	D6	PMNs	HlgAB
D6_PMNs_HlgCB_sample_0135	humanMyeloid_D6_PMNs_HlgCB_sample_0135.count	D6	PMNs	HlgCB
D6_PMNs_IFN-B1a_sample_0137	humanMyeloid_D6_PMNs_IFN-B1a_sample_0137.count	D6	PMNs	IFN-B1a
D6_PMNs_IFN-lambda2_sample_0139	humanMyeloid_D6_PMNs_IFN-lambda2_sample_0139.count	D6	PMNs	IFN-lambda2
D6_PMNs_IFN-y_sample_0138	humanMyeloid_D6_PMNs_IFN-y_sample_0138.count	D6	PMNs	IFN-y
D6_PMNs_IL-10_sample_0141	humanMyeloid_D6_PMNs_IL-10_sample_0141.count	D6	PMNs	IL-10
D6_PMNs_IL-13_sample_0142	humanMyeloid_D6_PMNs_IL-13_sample_0142.count	D6	PMNs	IL-13
D6_PMNs_IL-4_sample_0140	humanMyeloid_D6_PMNs_IL-4_sample_0140.count	D6	PMNs	IL-4
D6_PMNs_LukAB-CC30_sample_0131	humanMyeloid_D6_PMNs_LukAB_CC30_sample_0131.count	D6	PMNs	LukAB-CC30
D6_PMNs_LukAB-CC8_sample_0130	humanMyeloid_D6_PMNs_LukAB_CC8_sample_0130.count	D6	PMNs	LukAB-CC8
D6_PMNs_LukED_sample_0132	humanMyeloid_D6_PMNs_LukED_sample_0132.count	D6	PMNs	LukED
D6_PMNs_LukSF_sample_0133	humanMyeloid_D6_PMNs_LukSF_sample_0133.count	D6	PMNs	LukSF
D6_PMNs_WT_sample_0143	humanMyeloid_D6_PMNs_WT_sample_0143.count	D6	PMNs	WT
