SampleID	Count	Donor	CellType	Condition	sample
D5_Macs_IL_4	humanMyeloid_D5_Macs_IL-4_sample_0124.count	D5	Macs	IL_4	0124
D5_Macs_IL_10	humanMyeloid_D5_Macs_IL-10_sample_0125.count	D5	Macs	IL_10	0125
D5_Macs_IL_13	humanMyeloid_D5_Macs_IL-13_sample_0126.count	D5	Macs	IL_13	0126
D6_PMNs_Buffer	humanMyeloid_D6_PMNs_Buffer_sample_0129.count	D6	PMNs	Buffer	0129
D6_PMNs_IFN_B1a	humanMyeloid_D6_PMNs_IFN-B1a_sample_0137.count	D6	PMNs	IFN_B1a	0137
D6_PMNs_IFN_y	humanMyeloid_D6_PMNs_IFN-y_sample_0138.count	D6	PMNs	IFN_y	0138
D6_PMNs_IFN_lambda2	humanMyeloid_D6_PMNs_IFN-lambda2_sample_0139.count	D6	PMNs	IFN_lambda2	0139
D6_PMNs_IL_4	humanMyeloid_D6_PMNs_IL-4_sample_0140.count	D6	PMNs	IL_4	0140
D6_PMNs_IL_10	humanMyeloid_D6_PMNs_IL-10_sample_0141.count	D6	PMNs	IL_10	0141
D6_PMNs_IL_13	humanMyeloid_D6_PMNs_IL-13_sample_0142.count	D6	PMNs	IL_13	0142
D6_Monos_Buffer	humanMyeloid_D6_Monos_Buffer_sample_0145.count	D6	Monos	Buffer	0145
D6_Monos_IFN_B1a	humanMyeloid_D6_Monos_IFN-B1a_sample_0153.count	D6	Monos	IFN_B1a	0153
D6_Monos_IFN_y	humanMyeloid_D6_Monos_IFN-y_sample_0154.count	D6	Monos	IFN_y	0154
D6_Monos_IFN_lambda2	humanMyeloid_D6_Monos_IFN-lambda2_sample_0155.count	D6	Monos	IFN_lambda2	0155
D6_Monos_IL_4	humanMyeloid_D6_Monos_IL-4_sample_0156.count	D6	Monos	IL_4	0156
D6_Monos_IL_10	humanMyeloid_D6_Monos_IL-10_sample_0157.count	D6	Monos	IL_10	0157
D6_Monos_IL_13	humanMyeloid_D6_Monos_IL-13_sample_0158.count	D6	Monos	IL_13	0158
D6_DCs_Buffer	humanMyeloid_D6_DCs_Buffer_sample_0161.count	D6	DCs	Buffer	0161
D6_DCs_IFN_B1a	humanMyeloid_D6_DCs_IFN-B1a_sample_0169.count	D6	DCs	IFN_B1a	0169
D6_DCs_IFN_y	humanMyeloid_D6_DCs_IFN-y_sample_0170.count	D6	DCs	IFN_y	0170
D6_DCs_IFN_lambda2	humanMyeloid_D6_DCs_IFN-lambda2_sample_0171.count	D6	DCs	IFN_lambda2	0171
D6_DCs_IL_4	humanMyeloid_D6_DCs_IL-4_sample_0172.count	D6	DCs	IL_4	0172
D6_DCs_IL_10	humanMyeloid_D6_DCs_IL-10_sample_0173.count	D6	DCs	IL_10	0173
D6_DCs_IL_13	humanMyeloid_D6_DCs_IL-13_sample_0174.count	D6	DCs	IL_13	0174
D6_Macs_Buffer	humanMyeloid_D6_Macs_Buffer_sample_0177.count	D6	Macs	Buffer	0177
D6_Macs_IFN_B1a	humanMyeloid_D6_Macs_IFN-B1a_sample_0185.count	D6	Macs	IFN_B1a	0185
D6_Macs_IFN_y	humanMyeloid_D6_Macs_IFN-y_sample_0186.count	D6	Macs	IFN_y	0186
D6_Macs_IFN_lambda2	humanMyeloid_D6_Macs_IFN-lambda2_sample_0187.count	D6	Macs	IFN_lambda2	0187
D6_Macs_IL_4	humanMyeloid_D6_Macs_IL-4_sample_0188.count	D6	Macs	IL_4	0188
D6_Macs_IL_10	humanMyeloid_D6_Macs_IL-10_sample_0189.count	D6	Macs	IL_10	0189
D6_Macs_IL_13	humanMyeloid_D6_Macs_IL-13_sample_0190.count	D6	Macs	IL_13	0190
