title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	data_processing.5	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1
TB_11	GSM2712686	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 11	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373626	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022512	NONE
TB_12	GSM2712687	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 12	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373625	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022513	NONE
TB_13	GSM2712688	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 13	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373624	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022514	NONE
TB_14	GSM2712689	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 14	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373623	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022515	NONE
TB_15	GSM2712690	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 15	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373622	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022516	NONE
TB_16	GSM2712691	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 16	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373621	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022518	NONE
TB_17	GSM2712692	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 17	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373620	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022519	NONE
TB_18	GSM2712693	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 18	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373619	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022520	NONE
TB_19	GSM2712694	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 19	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373618	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022521	NONE
TB_20	GSM2712695	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 20	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373617	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022522	NONE
TB_21	GSM2712696	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 21	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373616	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022523	NONE
TB_22	GSM2712697	Public on Jan 24 2018	Jul 20 2017	Jan 24 2018	SRA	1	Whole blood	Homo sapiens	condition: TB	polyA RNA	PAXgene blood RNA kit (Cat # 762164, Qiagen, Hilden, Germany)	SureSelect Strand-Specific mRNA Library Prep kit (Cat #5190-6411, Agilent, Santa Clara, USA)	9606	TB subject 22	Sequence Quality control: FastQC_v0.11.5 (default) + trimmomatic-0.36 (ILLUMINACLIP:TruSeq3-PE.fa:2:30:10 LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36)	Alignment: Rsubread-1.8.2 (indels = 5, unique = TRUE)	Gene Filtering: rowSums(matrix) > 20	Normalization: DEseq2 1.14.1 (RLE method)	Genome_build: hg19	Supplementary_files_format_and_content: Excel file matrix of normalized expression counts with genes in rows and samples in columns	GPL18573	Padmini,,Salgame	padmini.salgame@rutgers.edu	Salgame	Medicine	Rutgers New Jersey Medical School	185 South Orange Ave	Newark	NJ	07103	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07373615	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3022524	NONE
