gene	group	exp_level	sig_status	alternate
LYSMD2	PMNs_IFN_lambda2	low	poor	
MAML2	PMNs_IFN_lambda2	low	poor	
MYD88	PMNs_IFN_lambda2	low	poor	
RAB24	PMNs_IFN_lambda2	low	poor	
ASF1B	PMNs_IL_4_PMNs_IL_13	low	good	
ASF1B	PMNs_IL_4_PMNs_IL_13	low	good	
BCL9	PMNs_IL_4_PMNs_IL_13	low	good	
BCL9	PMNs_IL_4_PMNs_IL_13	low	good	
BMP6	PMNs_IL_4_PMNs_IL_13	low	okay	
BMP6	PMNs_IL_4_PMNs_IL_13	low	okay	
C10orf128	PMNs_IL_4_PMNs_IL_13	mid	good	
C10orf128	PMNs_IL_4_PMNs_IL_13	mid	good	
C1RL	PMNs_IL_4_PMNs_IL_13	low	good	
C1RL	PMNs_IL_4_PMNs_IL_13	low	good	
ERI1	PMNs_IL_4_PMNs_IL_13	low	good	
ERI1	PMNs_IL_4_PMNs_IL_13	low	good	
FLJ23867	PMNs_IL_4_PMNs_IL_13	low	good	
FLJ23867	PMNs_IL_4_PMNs_IL_13	low	good	
FRAT1	PMNs_IL_4_PMNs_IL_13	low	good	
FRAT1	PMNs_IL_4_PMNs_IL_13	low	good	
INAFM2	PMNs_IL_4_PMNs_IL_13	mid	good	
INAFM2	PMNs_IL_4_PMNs_IL_13	mid	good	
INHBB	PMNs_IL_4_PMNs_IL_13	low	good	
INHBB	PMNs_IL_4_PMNs_IL_13	low	good	
MTMR10	PMNs_IL_4_PMNs_IL_13	low	good	
MTMR10	PMNs_IL_4_PMNs_IL_13	low	good	
NEK9	PMNs_IL_4_PMNs_IL_13	low	good	
NEK9	PMNs_IL_4_PMNs_IL_13	low	good	
NFXL1	PMNs_IL_4_PMNs_IL_13	low	good	
NFXL1	PMNs_IL_4_PMNs_IL_13	low	good	
OXER1	PMNs_IL_4_PMNs_IL_13	low	good	
OXER1	PMNs_IL_4_PMNs_IL_13	low	good	
PARP8	PMNs_IL_4_PMNs_IL_13	low	poor	
RNF24	PMNs_IL_4_PMNs_IL_13	mid	okay	
RNF24	PMNs_IL_4_PMNs_IL_13	mid	okay	
SH2B2	PMNs_IL_4_PMNs_IL_13	low	poor	
SH2D1B	PMNs_IL_4_PMNs_IL_13	low	good	
SLA	PMNs_IL_4_PMNs_IL_13	mid	good	
SLA	PMNs_IL_4_PMNs_IL_13	mid	good	
SOCS1	PMNs_IL_4_PMNs_IL_13	low	poor	
STEAP4	PMNs_IL_4_PMNs_IL_13	low	poor	
SUCNR1	PMNs_IL_4_PMNs_IL_13	low	good	
SUCNR1	PMNs_IL_4_PMNs_IL_13	low	good	
SYN2	PMNs_IL_4_PMNs_IL_13	low	good	
SYN2	PMNs_IL_4_PMNs_IL_13	low	good	
TLE3	PMNs_IL_4_PMNs_IL_13	mid	poor	
TLE3	PMNs_IL_4_PMNs_IL_13	mid	poor	
WDR25	PMNs_IL_4_PMNs_IL_13	low	good	
WDR25	PMNs_IL_4_PMNs_IL_13	low	good	
BRSK1	PMNs_IL_4_PMNs_IL_13	low	poor	
CAMK1G	PMNs_IL_4_PMNs_IL_13	low	poor	
CASP10	PMNs_IL_4_PMNs_IL_13	low	okay	
CISH	PMNs_IL_4_PMNs_IL_13	mid	poor	
CLEC4A	PMNs_IL_4_PMNs_IL_13	mid	okay	
CSRNP1	PMNs_IL_4_PMNs_IL_13	mid	poor	
DAPP1	PMNs_IL_4_PMNs_IL_13	low	poor	
FAM26F	PMNs_IL_4_PMNs_IL_13	low	poor	
FPR1	PMNs_IL_4_PMNs_IL_13	high	poor	
GADD45B	PMNs_IL_4_PMNs_IL_13	mid	poor	
HCAR2	PMNs_IL_4_PMNs_IL_13	mid	poor	
IER2	PMNs_IL_4_PMNs_IL_13	low	poor	
IFITM1	PMNs_IL_4_PMNs_IL_13	mid	poor	
LINC01506	PMNs_IL_4_PMNs_IL_13	low	poor	
LMNB1	PMNs_IL_4_PMNs_IL_13	low	poor	
MAP2K6	PMNs_IL_4_PMNs_IL_13	low	good	
MNDA	PMNs_IL_4_PMNs_IL_13	low	poor	
NOD2	PMNs_IL_4_PMNs_IL_13	low	poor	
RHOH	PMNs_IL_4_PMNs_IL_13	mid	good	
RIPK2	PMNs_IL_4_PMNs_IL_13	mid	good	
SEMA4D	PMNs_IL_4_PMNs_IL_13	mid	poor	
ZNF107	PMNs_IL_4_PMNs_IL_13	low	poor	
ZNF124	PMNs_IL_4_PMNs_IL_13	low	poor	
ANKRD22	Macs_IFN_B1a_Macs_IFN_y	mid	good	
CCL2	Macs_IFN_B1a_Macs_IFN_y	high	okay	
CCL7	Macs_IFN_B1a_Macs_IFN_y	high	poor	Macs_IFN_B1a
GIMAP2	Macs_IFN_B1a_Macs_IFN_y	mid	poor	
GIMAP6	Macs_IFN_B1a_Macs_IFN_y	low	okay	
MT2A	Macs_IFN_B1a_Macs_IFN_y	high	poor	
APOL6	Monos_IFN_B1a_Monos_IFN_y	mid	okay	
GCH1	Monos_IFN_B1a_Monos_IFN_y	mid	good	
IL15	Monos_IFN_B1a_Monos_IFN_y	low	okay	
IL15RA	Monos_IFN_B1a_Monos_IFN_y	low	good	
IL27	Monos_IFN_B1a_Monos_IFN_y	low	poor	
IRG1	Monos_IFN_B1a_Monos_IFN_y	high	good	
ISG20	Monos_IFN_B1a_Monos_IFN_y	mid	okay	Monos_IFN_B1a
MTHFD2L	Monos_IFN_B1a_Monos_IFN_y	mid	good	
